TAXONOMIC_NAME,FAMILY,Lmax,Linf,K,Kyears,M,Lifespan,GenerationTime,AgeMat,Lmat,LmaxYields,Wmax,MaxN_prot,Repr,Fecundity,Resilience,Main food,Trophic level,QB
Acanthochromis polyacanthus,Pomacentridae,14.0,14.9,0.5,0.4,1.18,5.6,2.2,1.6,9.4,8.9,103.7 g,2.7/16.9,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.3,times the body weight per year
Acanthocybium solandri,Scombridae,250.0,158,0.34,0.31,0.52,8.5,2.9,1.7,78.8,104.6,34.7 kg,"1,064.3/6,651.9",nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly animals,4.3+/- s.e. 0.2,times the body weight per year
Acanthogobius flavimanus,Gobiidae,30.0,43.2,0.31,0.48,0.51,9.1,2.8,2.2,24.6,27.9,435.0 g,11.7/73.1,guarders: nesters,,High; decline threshold,mainly animals,3.4+/- s.e. 0.32,times the body weight per year
Acanthopagrus australis,Sparidae,66.0,68.3,0.17,0.69,0.27,17,5.2,3.9,37.1,43.4,,,nonguarders:,"948,683.00",Medium; decline threshold,mainly animals,3.1+/- s.e. 0.4,
Acanthopagrus berda,Sparidae,90.0,92.7,0.24,0.49,0.44,12,3.8,2.6,48.8,59.7,"14,646.0 g","437.2/2,732.5",nonguarders:,,Low; decline threshold,mainly animals,3.5+/- s.e. 0.42,times the body weight per year
Acanthopagrus butcheri,Sparidae,60.0,34.5,0.27,0.6,0.48,10.5,3.1,2.6,20.1,21.7,696.0 g,19.0/118.8,nonguarders:,"948,683.00",Medium; decline threshold,mainly animals,3.5+/- s.e. 0.53,times the body weight per year
Acanthopagrus pacificus,Sparidae,50.0,52,0.14,1.05,,20.4,6,4.8,29,32.7,"3,748.0 g",107.4/671.2,,,Low; decline threshold,mainly animals,3.6+/- s.e. 0.48,times the body weight per year
Acanthopagrus palmaris,Sparidae,40.0,41.7,0.2,0.77,0.46,14.2,4.1,3.5,23.8,26,,,,,Medium; decline threshold,,,times the body weight per year
Acanthosphex leurynnis,Aploactinidae,3.1,3.4,,,4.84,0,0,0,2.5,1.9,,,,,Please en,,0,times the body weight per year
Acanthurus albipectoralis,Acanthuridae,33.0,34.5,0.43,0.37,0.86,6.6,1.9,1.7,20.1,21.3,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Acanthurus auranticavus,Acanthuridae,45.0,31.8,0.68,0.23,1.25,4.2,1.2,1.1,18.7,19.7,,,nonguarders: open water/substratum egg scatterers,,High; decline threshold,,0,times the body weight per year
Acanthurus bariene,Acanthuridae,50.0,52,0.29,0.49,0.58,9.9,2.9,2.3,29,32.7,,,,,Medium; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus blochii,Acanthuridae,45.0,35.9,0.25,0.64,0.58,11.4,3.2,2.8,20.8,22.2,"1,302.0 g",36.1/225.6,nonguarders: open water/substratum egg scatterers,,Medium; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus dussumieri,Acanthuridae,54.0,40.5,0.3,0.52,0.64,9.6,2.8,2.3,23.2,25.2,"1,749.0 g",49.0/306.2,nonguarders: open water/substratum egg scatterers,,Medium; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus fowleri,Acanthuridae,45.0,46.9,0.27,0.55,,10.6,3.1,2.5,26.5,29.3,,,,,Medium; decline threshold,,,times the body weight per year
Acanthurus grammoptilus,Acanthuridae,35.0,36.6,0.41,0.38,0.81,6.9,2,1.7,21.2,22.7,,,,,High; decline threshold,,0,times the body weight per year
Acanthurus guttatus,Acanthuridae,26.0,27.3,0.54,0.31,1.07,5.2,1.4,1.4,16.3,16.7,687.0 g,18.7/116.9,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus lineatus,Acanthuridae,38.0,25,0.7,0.24,1.44,4,1.1,1.1,15,15.2,432.0 g,11.6/72.5,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus maculiceps,Acanthuridae,40.0,41.7,0.3,0.51,,9.5,2.7,2.3,23.8,26,,,,,Medium; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus mata,Acanthuridae,50.0,38.3,0.22,0.72,0.52,13,3.7,3.2,22.1,23.7,"1,219.0 g",33.8/211.2,nonguarders: open water/substratum egg scatterers,,Medium; decline threshold,plants/detritus+animals,2.5+/- s.e. 0.25,times the body weight per year
Acanthurus nigricans,Acanthuridae,21.3,17.9,0.28,0.69,0.75,10,3.8,2.8,11.1,10.7,148.3 g,3.9/24.4,nonguarders: open water/substratum egg scatterers,,Medium; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus nigricauda,Acanthuridae,40.0,24.3,0.6,0.29,1.25,4.7,1.3,1.3,14.7,14.8,362.0 g,9.7/60.6,nonguarders: open water/substratum egg scatterers,,High; decline threshold,plants/detritus+animals,3+/- s.e. 0.4,times the body weight per year
Acanthurus nigrofuscus,Acanthuridae,21.0,16.8,0.45,0.43,1.08,6.2,2.4,1.7,10.5,10.1,136.2 g,3.5/21.9,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus nigroris,Acanthuridae,25.0,26.3,0.56,0.3,1.11,5.1,1.4,1.3,15.7,16.1,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus olivaceus,Acanthuridae,35.0,21,1.07,0.16,1.94,2.7,0.7,0.7,12.9,13.1,427.0 g,11.5/71.9,nonguarders: open water/substratum egg scatterers,,High; decline threshold,plants/detritus+animals,2.3+/- s.e. 0.17,times the body weight per year
Acanthurus pyroferus,Acanthuridae,29.0,23.3,0.42,0.42,0.95,6.7,1.8,1.8,14.1,14.1,,,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthurus thompsoni,Acanthuridae,27.0,28.4,0.52,0.32,1.03,5.4,1.5,1.4,16.9,17.4,,,,,High; decline threshold,mainly animals,3.6+/- s.e. 0.41,times the body weight per year
Acanthurus triostegus,Acanthuridae,27.0,20,1,0.18,1.92,2.8,1.1,0.8,12.3,12.2,217.0 g,5.7/35.6,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly animals,2.8+/- s.e. 0.35,times the body weight per year
Acanthurus xanthopterus,Acanthuridae,70.0,65,0.29,0.47,0.55,10,3,2.3,35.5,41.2,"5,009.0 g",144.8/905.0,nonguarders: open water/substratum egg scatterers,,Medium; decline threshold,plants/detritus+animals,2.9+/- s.e. 0.36,times the body weight per year
Acarobythites larsonae,Bythitidae,2.5,2.7,2.62,0.11,,1,0.5,0.4,2,1.5,,,,,High; decline threshold,,0,times the body weight per year
Acentrogobius caninus,Gobiidae,13.0,13.8,0.51,0.4,1.22,5.5,2.2,1.6,8.8,8.2,,,,,High; decline threshold,,3.5+/- s.e. 0.37,times the body weight per year
Acentrogobius janthinopterus,Gobiidae,12.5,13.3,0.53,0.38,1.26,5.3,2.1,1.5,8.5,7.9,,,,,High; decline threshold,,,times the body weight per year
Acentrogobius moloanus,Gobiidae,8.0,8.6,0.8,0.28,1.91,3.5,1.5,1.1,5.8,5,,,,,High; decline threshold,mainly animals,4.2+/- s.e. 0.73,times the body weight per year
Acentrogobius nebulosus,Gobiidae,18.0,19,0.31,0.61,,9.1,3.4,2.5,11.8,11.4,,,,,High; decline threshold,,0,times the body weight per year
Acentrogobius pflaumii,Gobiidae,12.0,69.4,2.74,0.04,2.38,1.1,0.5,0.2,37.6,53.8,"5,382.0 g",155.9/974.4,,,High; decline threshold,mainly animals,3.1+/- s.e. 0.17,times the body weight per year
Acentrogobius viridipunctatus,Gobiidae,16.5,17.5,0.41,0.47,0.98,6.8,2.6,1.9,10.9,10.5,95.2 g,2.4/15.0,,,High; decline threshold,,0,times the body weight per year
Acentronura breviperula,Syngnathidae,5.0,5.4,3.25,0.07,6.08,0.9,0.4,0.3,3.8,3.1,,,,,High; decline threshold,,,times the body weight per year
Acentronura tentaculata,Syngnathidae,6.3,6.8,2.63,0.09,4.91,1.1,0.5,0.4,4.7,3.9,,,,,High; decline threshold,,0,times the body weight per year
Achoerodus gouldii,Labridae,175.0,68.2,0.14,0.98,0.27,20.5,6.2,4.6,37,43.3,"6,760.0 g","197.2/1,232.5",nonguarders: open water/substratum egg scatterers,,Low; decline threshold,mainly animals,3.8+/- s.e. 0.59,times the body weight per year
Achoerodus viridis,Labridae,62.0,64.3,0.08,1.43,0.17,36.1,11.2,8.4,35.1,40.8,,,,,Low; decline threshold,,,
Acreichthys radiatus,Monacanthidae,7.0,7.5,1.17,0.2,2.62,2.4,1,0.8,5.1,4.3,,,,,High; decline threshold,,,times the body weight per year
Acreichthys tomentosus,Monacanthidae,12.0,11.8,0.86,0.24,1.86,3.2,1.3,1,7.7,7,32.7 g,0.8/5.0,nonguarders: open water/substratum egg scatterers,,High; decline threshold,plants/detritus+animals,3+/- s.e. 0.39,times the body weight per year
Acropoma japonicum,Acropomatidae,20.0,21.1,0.5,0.36,0.73,5.6,2.1,1.5,12.9,12.8,235.0 g,6.2/38.8,,,High; decline threshold,mainly animals,3.3+/- s.e. 0.4,times the body weight per year
Aeoliscus strigatus,Centriscidae,15.0,15.9,0.55,0.35,1.24,5.1,2,1.5,10,9.5,,,,,High; decline threshold,mainly animals,3.5+/- s.e. 0.48,times the body weight per year
Aesopia cornuta,Soleidae,25.0,26.3,0.29,0.6,,9.7,2.7,2.5,15.7,16.1,,,,,Medium; decline threshold,,,times the body weight per year
Aetapcus maculatus,Pataecidae,21.0,22.1,,,0.63,0,0,0,13.5,13.4,,,,,Please en,,,times the body weight per year
Aethaloperca rogaa,Serranidae,60.0,62.2,0.18,0.77,0.39,15.9,4.8,3.6,34.1,39.4,"7,195.0 g","210.3/1,314.4",,,Medium; decline threshold,mainly animals,4.2+/- s.e. 0.71,times the body weight per year
Aetobatus narinari,Myliobatidae,330.0 WD,333,0.11,0.72,0.15,26.6,9.6,4.9,153.8,226.2,463.6 kg,"15,349.2/95,932.5",,,Low; decline threshold,mainly animals,4.2+/- s.e. 0.13,
Aetobatus ocellatus,Myliobatidae,152.8,156.1,0.19,0.57,0.32,15.2,5.1,3.1,77.9,102.7,,,,,Medium; decline threshold,mainly animals,0,times the body weight per year
Aetomylaeus caeruleofasciatus,Myliobatidae,59.1 WD,61.3,0.22,0.63,,13,3.9,3,33.7,38.8,,,,,Medium; decline threshold,,,times the body weight per year
Aetomylaeus nichofii,Myliobatidae,65.0 WD,67.3,0.22,0.61,,13,4,3,36.6,42.7,,,,,Medium; decline threshold,mainly animals,3.8+/- s.e. 0.62,times the body weight per year
Aetomylaeus vespertilio,Myliobatidae,240.0 WD,243.4,0.22,0.43,,13.2,4.6,2.5,116.1,163.1,,,,,Medium; decline threshold,,0,times the body weight per year
Afurcagobius suppositus,Gobiidae,11.0,11.7,0.5,0.42,,5.6,2.3,1.7,7.6,6.9,,,,,High; decline threshold,,,times the body weight per year
Afurcagobius tamarensis,Gobiidae,11.0,11.7,0.6,0.35,1.01,4.6,1.9,1.4,7.6,6.9,,,,,High; decline threshold,,,times the body weight per year
Agrostichthys parkeri,Regalecidae,300.0,303.2,,,0.1,0,0,0,141.4,205.1,,,,,Please en,,,times the body weight per year
Alabes bathys,Gobiesocidae,3.9,4.2,0.49,0.57,,5.6,2.6,2,3,2.4,,,,,High; decline threshold,,,times the body weight per year
Alabes brevis,Gobiesocidae,2.3,2.5,0.96,0.33,2.47,2.8,1.5,1.2,1.9,1.4,,,,,High; decline threshold,,,times the body weight per year
Alabes dorsalis,Gobiesocidae,12.0,12.8,0.21,1.02,0.53,13.3,5.2,3.9,8.2,7.6,,,,,Medium; decline threshold,,,times the body weight per year
Alabes elongata,Gobiesocidae,9.2,9.8,0.22,1.04,,12.6,5.2,3.9,6.5,5.7,,,,,Medium; decline threshold,,,times the body weight per year
Alabes gibbosa,Gobiesocidae,9.1,9.7,0.22,1.04,,12.6,5.2,3.9,6.4,5.7,,,,,Medium; decline threshold,,,times the body weight per year
Alabes hoesei,Gobiesocidae,4.5,4.9,0.52,0.52,1.32,5.2,2.4,1.9,3.5,2.8,,,,,High; decline threshold,,,times the body weight per year
Alabes obtusirostris,Gobiesocidae,4.6,5,0.42,0.64,,6.5,2.9,2.2,3.5,2.8,,,,,High; decline threshold,,,times the body weight per year
Alabes occidentalis,Gobiesocidae,4.0,4.3,0.48,0.58,,5.7,2.7,2.1,3.1,2.4,,,,,High; decline threshold,,,times the body weight per year
Alabes parvula,Gobiesocidae,5.0,5.4,0.47,0.56,1.02,5.8,2.6,2,3.8,3.1,,,,,High; decline threshold,,,times the body weight per year
Alabes scotti,Gobiesocidae,4.8,5.2,0.41,0.65,,6.7,3.1,2.4,3.7,3,,,,,High; decline threshold,,,times the body weight per year
Albula argentea,Albulidae,70.0,72.4,0.26,0.5,,11,3.4,2.5,39.1,46.1,,,,,Medium; decline threshold,,,times the body weight per year
Albula glossodonta,Albulidae,90.0,30.2,0.1,1.66,0.31,27.2,7.5,7.2,17.8,18.5,,,nonguarders: open water/substratum egg scatterers,,Low; decline threshold,,0,times the body weight per year
Albula oligolepis,Albulidae,35.4,37,0.49,0.31,,5.8,1.7,1.5,21.4,22.9,,,,,High; decline threshold,,,times the body weight per year
Aldrichetta forsteri,Mugilidae,50.0,40,0.51,0.3,0.66,5.6,2.1,1.4,22.9,27.9,,,nonguarders: open water/substratum egg scatterers,"280,624.00",High; decline threshold,plants/detritus+animals,2.5+/- s.e. 0.26,times the body weight per year
Aldrovandia affinis,Halosauridae,55.0,57.1,0.41,0.34,0.49,7,2.1,1.6,31.6,36,,,,,High; decline threshold,mainly animals,3.3+/- s.e. 0.4,times the body weight per year
Aldrovandia phalacra,Halosauridae,50.0,52,0.44,0.32,0.53,6.5,1.9,1.5,29,32.7,,,,,High; decline threshold,mainly animals,3.2+/- s.e. 0.34,times the body weight per year
Alectis ciliaris,Carangidae,150.0,153.3,0.14,0.78,0.21,20.6,6.9,4.2,76.7,100.8,69.8 kg,"2,182.7/13,641.9",,,Low; decline threshold,mainly animals,4+/- s.e. 0.66,times the body weight per year
Alectis indica,Carangidae,165.0,120.7,0.17,0.68,0.35,17,5.5,3.5,61.8,78.5,22.5 kg,"678.8/4,242.5",nonguarders: open water/substratum egg scatterers,,Medium; decline threshold,mainly animals,4.1+/- s.e. 0.52,times the body weight per year
Alepes apercna,Carangidae,29.5,30.9,0.63,0.25,1.17,4.5,1.3,1.2,18.2,19,,,,,High; decline threshold,,,times the body weight per year
Alepes djedaba,Carangidae,40.0,32.6,0.61,0.26,1.18,4.7,1.3,1.2,19.1,20.1,"1,410.0 g",39.2/245.0,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly animals,3.3+/- s.e. 0.47,times the body weight per year
Alepes kleinii,Carangidae,16.0 FL,17.1,0.83,0.23,1.74,3.4,1.3,1,10.7,10.2,69.2 g,1.8/11.2,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly animals,3.5+/- s.e. 0.41,times the body weight per year
Alepes vari,Carangidae,56.0,58.1,0.35,0.39,0.65,8.2,2.5,1.9,32.1,36.7,,,,,High; decline threshold,mainly animals,3.6+/- s.e. 0.55,times the body weight per year
Alepisaurus brevirostris,Alepisauridae,96.0,98.8,,,0.2,0,0,0,51.7,63.8,,,,,Please en,mainly animals,3.8+/- s.e. 0.61,times the body weight per year
Alepisaurus ferox,Alepisauridae,215.0,218.5,,,0.11,0,0,0,105.4,145.8,49.0 kg,"1,517.6/9,485.0",,,Please en,mainly animals,4+/- s.e. 0.18,times the body weight per year
Alepocephalus antipodianus,Alepocephalidae,66.2,68.5,0.11,1.25,,26,7.9,5.9,37.2,43.5,"4,440.0 g",127.9/799.4,,,Low; decline threshold,,0,times the body weight per year
Alepocephalus australis,Alepocephalidae,69.0,71.4,0.1,1.37,,28.6,8.8,6.4,38.6,45.5,"4,808.0 g",138.8/867.5,,,Low; decline threshold,,0,times the body weight per year
Alepocephalus bicolor,Alepocephalidae,29.0,30.4,0.23,0.73,,12.3,3.4,3.1,17.9,18.7,,,,,Medium; decline threshold,,0,times the body weight per year
Alepocephalus longiceps,Alepocephalidae,16.0,16.9,0.4,0.48,,7,2.7,2,10.6,10.1,,,,,High; decline threshold,,0,times the body weight per year
Alepocephalus longirostris,Alepocephalidae,41.0,42.8,0.17,0.91,,16.7,4.8,4.1,24.4,26.7,,,,,Medium; decline threshold,,0,times the body weight per year
Alepocephalus owstoni,Alepocephalidae,40.0,41.7,0.17,0.91,,16.7,4.8,4.1,23.8,26,,,,,Medium; decline threshold,,,times the body weight per year
Alepocephalus triangularis,Alepocephalidae,24.0,25.3,0.28,0.62,,10.1,2.7,2.7,15.2,15.4,,,,,Medium; decline threshold,,0,times the body weight per year
Alionematichthys crassiceps,Bythitidae,6.3,6.8,1.12,0.21,,2.5,1.1,0.8,4.7,3.9,,,,,High; decline threshold,,,times the body weight per year
Alionematichthys piger,Bythitidae,8.4,9,0.86,0.26,,3.2,1.4,1,6,5.3,,,,,High; decline threshold,,,times the body weight per year
Alionematichthys riukiuensis,Bythitidae,7.9,8.4,0.91,0.25,,3,1.3,1,5.6,4.9,,,,,High; decline threshold,,0,times the body weight per year
Allenichthys glauerti,Antennariidae,19.0,20.1,,,0.68,0,0,0,12.4,12.1,,,,,Please en,,,times the body weight per year
Allocyttus niger,Oreosomatidae,47.0,48.9,0.03,5.18,0.08,94.8,27.6,22.4,27.5,30.6,"2,780.0 g",78.9/493.1,nonguarders:,"17,607.00",Very low; decline threshold,mainly animals,3.4+/- s.e. 0.5,
Allocyttus verrucosus,Oreosomatidae,42.5,44.3,0.02,6.57,0.06,143.4,42.2,35.2,25.1,27.6,"2,313.0 g",65.3/408.1,,,Very low; decline threshold,mainly animals,4.2+/- s.e. 0.73,times the body weight per year
Allomycterus pilatus,Diodontidae,50.0,52,,,0.34,0,0,0,29,32.7,,,,,Please en,,,times the body weight per year
Allothunnus fallai,Scombridae,105.0 FL,107.9,0.26,0.45,,11.1,3.6,2.4,55.9,69.9,,,,,Medium; decline threshold,mainly animals,3.7+/- s.e. 0.12,times the body weight per year
Alopias pelagicus,Alopiidae,428.0,328,0.12,0.74,0.18,24.3,8.7,4.4,151.8,222.6,58.6 kg,"1,823.3/11,395.6",bearers: internal live bearers,2,Low; decline threshold,mainly animals,4.5+/- s.e. 0.66,times the body weight per year
Alopias superciliosus,Alopiidae,488.0,272,0.07,1.31,0.13,39.8,14,7.8,128.3,183.2,59.8 kg,"1,862.1/11,638.1",bearers: internal live bearers,3,Low; decline threshold,mainly animals,4.5,times the body weight per year
Alopias vulpinus,Alopiidae,573.3,464.3,0.12,0.65,0.14,23.5,9.9,4.3,207.3,334.3,98.7 kg,"3,121.2/19,507.5",bearers: internal live bearers,3,Low; decline threshold,mainly animals,4.5,times the body weight per year
Alticus saliens,Blenniidae,10.0,10.7,0.68,0.32,1.6,4.1,1.7,1.2,7,6.3,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Aluterus monoceros,Monacanthidae,76.2,63.5,0.22,0.62,0.37,13,4,3,34.7,40.7,"4,207.0 g",121.0/756.2,,,Medium; decline threshold,mainly animals,3.8,times the body weight per year
Aluterus scriptus,Monacanthidae,110.0,113,0.09,1.34,0.17,32,10.3,6.7,58.3,73.3,"4,362.0 g",125.6/785.0,,,Low; decline threshold,plants/detritus+animals,2.8+/- s.e. 0.37,times the body weight per year
Amanses scopas,Monacanthidae,20.0,21.1,0.44,0.41,0.98,6.4,2.4,1.7,12.9,12.8,,,,,High; decline threshold,,0,times the body weight per year
Amarsipus carlsbergi,Amarsipidae,21.2,22.3,,,,0,0,0,13.6,13.5,,,,,Please en,,0,times the body weight per year
Amatitlania nigrofasciata,Cichlidae,10.0,6.9,1.07,0.22,2.68,2.6,1.1,0.9,4.8,4,,,guarders: nesters,,High; decline threshold,plants/detritus+animals,3.3+/- s.e. 0.45,times the body weight per year
Ambassis dussumieri,Ambassidae,10.0,10.7,1.21,0.17,2.46,2.3,0.9,0.7,7,6.3,,,,,High; decline threshold,,0,times the body weight per year
Ambassis gymnocephalus,Ambassidae,16.0,19.5,1.2,0.15,2.27,2.4,0.9,0.6,12,12,182.8 g,4.8/30.0,,,High; decline threshold,mainly animals,3.9+/- s.e. 0.56,times the body weight per year
Ambassis interrupta,Ambassidae,12.0,12.8,0.85,0.24,,3.3,1.3,1,8.2,7.6,40.6 g,1.0/6.2,,,High; decline threshold,plants/detritus+animals,2.7+/- s.e. 0.12,times the body weight per year
Ambassis jacksoniensis,Ambassidae,7.0,7.5,1.4,0.16,,2,0.9,0.7,5.1,4.3,,,,,High; decline threshold,mainly animals,3.1+/- s.e. 0.3,times the body weight per year
Ambassis marianus,Ambassidae,10.0,10.7,1.01,0.21,,2.8,1.1,0.8,7,6.3,,,,,High; decline threshold,,,times the body weight per year
Ambassis miops,Ambassidae,10.3,11,1.18,0.18,2.4,2.4,1,0.7,7.2,6.5,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.41,times the body weight per year
Ambassis vachellii,Ambassidae,6.5,7,1.5,0.16,,1.8,0.8,0.6,4.8,4,,,,,High; decline threshold,,,times the body weight per year
Ambiserrula jugosa,Platycephalidae,12.1,29.2,0.2,0.85,0.42,14.1,3.9,3.6,17.3,17.9,,,nonguarders:,,Medium; decline threshold,,0,times the body weight per year
Amblycirrhitus bimacula,Cirrhitidae,8.5,9.1,,,,0,0,0,6.1,5.3,,,,,Please en,,0,times the body weight per year
Amblyeleotris callopareia,Gobiidae,7.8,8.4,0.68,0.34,,4.1,1.7,1.3,5.6,4.9,,,,,High; decline threshold,,,times the body weight per year
Amblyeleotris diagonalis,Gobiidae,11.0,11.7,0.5,0.42,,5.6,2.3,1.7,7.6,6.9,,,,,High; decline threshold,,,times the body weight per year
Amblyeleotris fasciata,Gobiidae,8.0,8.6,0.8,0.28,1.91,3.5,1.5,1.1,5.8,5,,,,,High; decline threshold,,0,times the body weight per year
Amblyeleotris fontanesii,Gobiidae,25.0,26.3,0.23,0.76,,12.3,3.4,3.2,15.7,16.1,,,,,Medium; decline threshold,,0,times the body weight per year
Amblyeleotris guttata,Gobiidae,11.0,11.7,0.5,0.42,,5.6,2.3,1.7,7.6,6.9,,,,,High; decline threshold,,0,times the body weight per year
Amblyeleotris gymnocephala,Gobiidae,14.0,14.9,0.48,0.41,1.14,5.8,2.3,1.7,9.4,8.9,,,,,High; decline threshold,,0,times the body weight per year
Amblyeleotris macronema,Gobiidae,8.0,8.6,0.67,0.34,,4.1,1.8,1.3,5.8,5,,,,,High; decline threshold,,0,times the body weight per year
Amblyeleotris ogasawarensis,Gobiidae,10.0,10.7,0.54,0.4,,5.2,2.1,1.6,7,6.3,,,,,High; decline threshold,,,times the body weight per year
Amblyeleotris periophthalma,Gobiidae,11.0,11.7,0.5,0.42,,5.6,2.3,1.7,7.6,6.9,,,,,High; decline threshold,,0,times the body weight per year
